Measurement,possible abreviations,,,
cup,c,,,
tablespoon,T,tbl.,tbs.,tbsp.
teaspoon,t,tsp.,,
fluid ounce,fl oz,,,
gill,,,,
pint,p,pt,fl pt,
quart,q,qt,fl qt,
gallon,g,gal,,
milliter,ml,mL,,
liter,L,,,
deciliter,dL,,,
pound,lb,lbs,,
ounce,oz,,,
miligram,mg,,,
gram,g,,,
kilogram,kg,,,
package,pkg,,,
dash,,,,
pinch,,,,
peck ,,,,
firkin,,,,
hogshead,,,,
peck ,,,,
bushel,,,,
to taste,,,,
